holiday_id,title,month,day,rank,creator_id,create_date,update_date,del_flg
1,元旦(1月1日),1,1,100,0,"2012-10-01 20:44:56.110354","2012-10-01 20:44:56.110354",0
2,成人の日(1月第2月曜日),1,14,99,0,"2012-10-01 20:44:56.151163","2012-10-01 20:44:56.151163",0
3,建国記念の日(2月11日),2,11,98,0,"2012-10-01 20:44:56.152882","2012-10-01 20:44:56.152882",0
4,春分の日(3月21日),3,21,97,0,"2012-10-01 20:44:56.15448","2012-10-01 20:44:56.15448",0
5,昭和の日(4月29日),4,29,96,0,"2012-10-01 20:44:56.156113","2012-10-01 20:44:56.156113",0
6,憲法記念日(5月3日),5,3,95,0,"2012-10-01 20:44:56.157767","2012-10-01 20:44:56.157767",0
7,みどりの日(5月4日),5,4,94,0,"2012-10-01 20:44:56.15915","2012-10-01 20:44:56.15915",0
8,こどもの日(5月5日),5,5,93,0,"2012-10-01 20:44:56.160841","2012-10-01 20:44:56.160841",0
9,海の日(7月第3月曜日),7,21,92,0,"2012-10-01 20:44:56.162077","2012-10-01 20:44:56.162077",0
10,敬老の日(9月第3月曜日),9,15,91,0,"2012-10-01 20:44:56.163501","2012-10-01 20:44:56.163501",0
11,秋分の日(9月23日),9,23,90,0,"2012-10-01 20:44:56.164724","2012-10-01 20:44:56.164724",0
12,体育の日(10月第2月曜日),10,13,89,0,"2012-10-01 20:44:56.166013","2012-10-01 20:44:56.166013",0
13,文化の日(11月3日),11,3,88,0,"2012-10-01 20:44:56.167298","2012-10-01 20:44:56.167298",0
14,勤労感謝の日(11月23日),11,23,87,0,"2012-10-01 20:44:56.168582","2012-10-01 20:44:56.168582",0
15,天皇誕生日(12月23日),12,23,86,0,"2012-10-01 20:44:56.16985","2012-10-01 20:44:56.16985",0
