table_name,column_name,recommend_flg,recommend_comment
dtb_customer,email_mobile,0,会員数増加時のログイン処理速度を向上させたいときに試してみてください
dtb_products,name,2,商品名検索速度を向上させたいときに試してみてください
dtb_order_temp,order_temp_id,0,注文数が多いときに試してみてください。
dtb_order,status,2,注文数が多いときに試してみてください。
dtb_order,order_email,2,注文数が多いときに試してみてください。
dtb_order,order_name01,2,注文数が多いときに試してみてください。
dtb_order,order_name02,0,注文数が多いときに試してみてください。
dtb_order,order_tel01,0,注文数が多いときに試してみてください。
dtb_order,order_tel02,0,注文数が多いときに試してみてください。
dtb_order,order_tel03,0,注文数が多いときに試してみてください。
dtb_customer,mobile_phone_id,1,
dtb_products_class,product_id,1,
dtb_order_detail,product_id,1,
dtb_send_customer,customer_id,1,
dtb_mobile_ext_session_id,param_key,1,
dtb_mobile_ext_session_id,param_value,1,
dtb_mobile_ext_session_id,url,1,
dtb_mobile_ext_session_id,create_date,1,
dtb_mobile_kara_mail,token,1,
dtb_mobile_kara_mail,create_date,1,
dtb_mobile_kara_mail,receive_date,1,
dtb_product_categories,category_id,2,カテゴリが多いときに試してみてください。
mtb_zip,zipcode,2,郵便番号検索が遅いときに試してみてください。郵便番号データの更新時には無効にしていることをおすすめします。
